Time,Date,Current Angle of the Back(Degrees),Is_Beeped,Intensity
13:12:16,27/11/2013,12,0,Good
13:12:17,27/11/2013,78,0,Very Severe
13:12:18,27/11/2013,50,0,Good
13:12:18,27/11/2013,50,0,Good
13:12:20,27/11/2013,50,0,Good
13:12:21,27/11/2013,50,0,Good
13:12:22,27/11/2013,50,0,Good
13:12:23,27/11/2013,50,0,Good
13:12:24,27/11/2013,50,0,Good
13:12:25,27/11/2013,50,0,Good
13:12:26,27/11/2013,50,0,Good
13:12:27,27/11/2013,50,0,Mild
13:12:28,27/11/2013,50,0,Mild
13:12:29,27/11/2013,50,0,Good
13:12:30,27/11/2013,50,0,Good
13:12:31,27/11/2013,50,0,Good
13:12:32,27/11/2013,50,0,Good
13:12:33,27/11/2013,50,0,Good
13:12:34,27/11/2013,50,0,Good
13:12:35,27/11/2013,50,0,Good
13:12:36,27/11/2013,50,0,Good
13:12:37,27/11/2013,50,0,Good
13:12:38,27/11/2013,50,0,Good
13:12:39,27/11/2013,16,0,Good
13:12:40,27/11/2013,35,0,Severe
13:12:41,27/11/2013,35,0,Good
13:12:42,27/11/2013,35,0,Good
13:12:43,27/11/2013,35,0,Good
13:12:44,27/11/2013,35,0,Good
13:12:45,27/11/2013,35,0,Good
13:12:46,27/11/2013,35,0,Good
13:12:47,27/11/2013,35,0,Good
13:12:48,27/11/2013,35,0,Good
13:12:49,27/11/2013,35,0,Good
13:12:50,27/11/2013,35,0,Good
13:12:51,27/11/2013,35,0,Good
13:12:52,27/11/2013,35,0,Good
13:12:53,27/11/2013,35,0,Good
13:12:54,27/11/2013,35,0,Good
13:12:55,27/11/2013,35,0,Good
13:12:56,27/11/2013,35,0,Good
13:12:57,27/11/2013,35,0,Good
13:12:58,27/11/2013,35,0,Good
13:12:59,27/11/2013,35,0,Good
13:13:00,27/11/2013,35,0,Mild
13:13:01,27/11/2013,35,0,Mild
13:13:02,27/11/2013,35,0,Mild
13:13:03,27/11/2013,35,0,Mild
13:13:04,27/11/2013,35,0,Mild
13:13:05,27/11/2013,35,0,Mild
13:13:06,27/11/2013,35,0,Mild
13:13:07,27/11/2013,35,0,Mild
13:13:08,27/11/2013,35,0,Mild
13:13:09,27/11/2013,35,0,Mild
13:13:10,27/11/2013,35,0,Mild
13:13:11,27/11/2013,35,0,Mild
13:13:12,27/11/2013,35,0,Mild
13:13:13,27/11/2013,35,0,Mild
13:13:14,27/11/2013,35,0,Mild
13:13:15,27/11/2013,35,0,Mild
13:13:16,27/11/2013,35,0,Mild
13:13:17,27/11/2013,35,0,Mild
13:13:18,27/11/2013,35,0,Mild
13:13:19,27/11/2013,35,0,Mild
13:13:20,27/11/2013,35,0,Mild
13:13:21,27/11/2013,35,0,Mild
13:13:22,27/11/2013,35,0,Mild
13:13:23,27/11/2013,35,0,Mild
13:13:24,27/11/2013,35,0,Mild
13:13:25,27/11/2013,35,0,Good
13:13:26,27/11/2013,35,0,Good
13:13:27,27/11/2013,35,0,Good
13:13:28,27/11/2013,35,0,Good
13:13:29,27/11/2013,35,0,Good
13:13:30,27/11/2013,35,0,Good
13:13:31,27/11/2013,35,0,Good
13:13:32,27/11/2013,35,0,Good
13:13:33,27/11/2013,35,0,Good
13:13:34,27/11/2013,35,0,Good
13:13:35,27/11/2013,35,0,Good
13:13:36,27/11/2013,35,0,Good
13:13:37,27/11/2013,35,0,Good
13:13:38,27/11/2013,35,0,Good
13:13:39,27/11/2013,35,0,Good
13:13:40,27/11/2013,35,0,Good
13:13:41,27/11/2013,35,0,Good
13:13:42,27/11/2013,35,0,Good
13:13:43,27/11/2013,35,0,Good
13:13:44,27/11/2013,35,0,Good
13:13:45,27/11/2013,35,0,Good
13:13:46,27/11/2013,35,0,Good
13:13:47,27/11/2013,35,0,Good
13:13:48,27/11/2013,35,0,Mild
13:13:49,27/11/2013,35,0,Good
13:13:50,27/11/2013,35,0,Good
13:13:51,27/11/2013,35,0,Good
13:13:52,27/11/2013,35,0,Good
13:13:53,27/11/2013,35,0,Good
13:13:54,27/11/2013,35,0,Good
13:13:55,27/11/2013,35,0,Good
13:13:56,27/11/2013,35,0,Good
13:13:57,27/11/2013,35,0,Good
13:13:58,27/11/2013,35,0,Good
13:13:59,27/11/2013,35,0,Good
13:14:00,27/11/2013,35,0,Good
13:14:01,27/11/2013,35,0,Good
13:14:02,27/11/2013,35,0,Good
13:14:03,27/11/2013,35,0,Good
13:14:04,27/11/2013,35,0,Good
13:14:05,27/11/2013,35,0,Good
13:14:06,27/11/2013,35,0,Good
13:14:07,27/11/2013,35,0,Good
13:14:08,27/11/2013,35,0,Good
13:14:09,27/11/2013,35,0,Good
13:14:10,27/11/2013,35,0,Good
13:14:11,27/11/2013,35,0,Good
13:14:12,27/11/2013,35,0,Good
13:14:13,27/11/2013,35,0,Good
13:14:14,27/11/2013,35,0,Good
13:14:15,27/11/2013,35,0,Good
13:14:16,27/11/2013,35,0,Good
13:14:17,27/11/2013,35,0,Good
13:14:18,27/11/2013,35,0,Mild
13:14:19,27/11/2013,35,0,Mild
13:14:20,27/11/2013,35,0,Good
13:14:21,27/11/2013,35,0,Good
13:14:22,27/11/2013,35,0,Good
13:14:23,27/11/2013,35,0,Good
13:14:24,27/11/2013,35,0,Good
13:14:25,27/11/2013,35,0,Good
13:14:26,27/11/2013,35,0,Good
13:14:27,27/11/2013,35,0,Good
13:14:28,27/11/2013,35,0,Good
13:14:29,27/11/2013,35,0,Good
13:14:30,27/11/2013,35,0,Good
13:14:31,27/11/2013,35,0,Good
13:14:32,27/11/2013,35,0,Good
13:14:33,27/11/2013,35,0,Good
13:14:34,27/11/2013,35,0,Good
13:14:35,27/11/2013,35,0,Good
13:14:36,27/11/2013,35,0,Good
13:14:37,27/11/2013,35,0,Good
13:14:38,27/11/2013,35,0,Good
13:14:39,27/11/2013,35,0,Good
13:14:40,27/11/2013,35,0,Good
13:14:41,27/11/2013,35,0,Good
13:14:42,27/11/2013,35,0,Good
13:14:43,27/11/2013,35,0,Good
13:14:44,27/11/2013,35,0,Good
13:14:45,27/11/2013,35,0,Good
13:14:46,27/11/2013,35,0,Very Severe
13:14:47,27/11/2013,35,0,Very Severe
13:14:48,27/11/2013,35,0,Very Severe
13:14:49,27/11/2013,35,0,Very Severe
13:14:50,27/11/2013,35,0,Very Severe
13:14:51,27/11/2013,35,0,Mild
13:14:52,27/11/2013,35,0,Good
13:14:53,27/11/2013,35,0,Good
13:14:54,27/11/2013,35,0,Good
13:14:55,27/11/2013,35,0,Good
13:14:56,27/11/2013,35,0,Good
13:14:57,27/11/2013,35,0,Good
13:14:58,27/11/2013,35,0,Good
13:14:59,27/11/2013,35,0,Good
13:15:00,27/11/2013,35,0,Good
13:15:01,27/11/2013,35,0,Good
13:15:02,27/11/2013,35,0,Good
13:15:03,27/11/2013,35,0,Good
13:15:04,27/11/2013,35,0,Good
13:15:05,27/11/2013,35,0,Good
13:15:06,27/11/2013,35,0,Good
13:15:07,27/11/2013,35,0,Good
13:15:08,27/11/2013,35,0,Good
13:15:09,27/11/2013,35,0,Good
13:15:10,27/11/2013,35,0,Good
13:15:11,27/11/2013,35,0,Good
13:15:12,27/11/2013,35,0,Good
13:15:13,27/11/2013,35,0,Good
13:15:14,27/11/2013,35,0,Good
13:15:15,27/11/2013,35,0,Good
13:15:16,27/11/2013,35,0,Good
13:15:17,27/11/2013,35,0,Good
13:15:18,27/11/2013,35,0,Good
13:15:19,27/11/2013,35,0,Good
13:15:20,27/11/2013,35,0,Very Severe
13:15:21,27/11/2013,35,0,Mild
13:15:22,27/11/2013,35,0,Good
13:15:23,27/11/2013,35,0,Good
13:15:24,27/11/2013,35,0,Good
13:15:25,27/11/2013,35,0,Good
13:15:26,27/11/2013,35,0,Good
13:15:27,27/11/2013,35,0,Good
13:15:28,27/11/2013,35,0,Good
13:15:29,27/11/2013,35,0,Good
13:15:30,27/11/2013,35,0,Good
13:15:31,27/11/2013,35,0,Good
13:15:32,27/11/2013,35,0,Good
13:15:33,27/11/2013,35,0,Good
13:15:34,27/11/2013,35,0,Good
13:15:35,27/11/2013,35,0,Good
13:15:36,27/11/2013,35,0,Good
13:15:37,27/11/2013,35,0,Good
13:15:38,27/11/2013,35,0,Good
13:15:39,27/11/2013,35,0,Mild
13:15:40,27/11/2013,35,0,Very Severe
13:15:41,27/11/2013,35,0,Severe
13:15:42,27/11/2013,35,0,Mild
13:15:43,27/11/2013,35,0,Good
13:15:44,27/11/2013,35,0,Good
13:15:45,27/11/2013,35,0,Good
13:15:46,27/11/2013,35,0,Good
13:15:47,27/11/2013,35,0,Good
13:15:48,27/11/2013,35,0,Good
13:15:49,27/11/2013,35,0,Good
13:15:50,27/11/2013,35,0,Good
13:15:51,27/11/2013,35,0,Good
13:15:52,27/11/2013,35,0,Good
13:15:53,27/11/2013,35,0,Good
13:15:54,27/11/2013,35,0,Good
13:15:55,27/11/2013,35,0,Good
13:15:56,27/11/2013,35,0,Good
13:15:57,27/11/2013,35,0,Good
13:15:58,27/11/2013,35,0,Good
13:15:59,27/11/2013,35,0,Good
13:16:00,27/11/2013,35,0,Good
13:16:01,27/11/2013,35,0,Good
13:16:02,27/11/2013,35,0,Good
13:16:03,27/11/2013,35,0,Good
13:16:04,27/11/2013,35,0,Good
13:16:05,27/11/2013,35,0,Good
13:16:06,27/11/2013,35,0,Good
13:16:07,27/11/2013,35,0,Good
13:16:08,27/11/2013,35,0,Good
13:16:09,27/11/2013,35,0,Good
13:16:10,27/11/2013,35,0,Good
13:16:11,27/11/2013,35,0,Good
13:16:12,27/11/2013,35,0,Good
13:16:13,27/11/2013,35,0,Good
13:16:14,27/11/2013,35,0,Good
13:16:15,27/11/2013,35,0,Good
13:16:16,27/11/2013,35,0,Good
13:16:17,27/11/2013,35,0,Good
13:16:18,27/11/2013,35,0,Good
13:16:19,27/11/2013,35,0,Good
13:16:20,27/11/2013,35,0,Good
13:16:21,27/11/2013,35,0,Good
13:16:22,27/11/2013,35,0,Good
13:16:23,27/11/2013,35,0,Good
13:16:24,27/11/2013,35,0,Good
13:16:25,27/11/2013,35,0,Very Severe
13:16:26,27/11/2013,35,0,Very Severe
13:16:27,27/11/2013,35,0,Good
13:16:28,27/11/2013,35,0,Good
